static analysis - Execution Time: 206.12172198295593, CPU utilization as a % 29.1, CPU Statsscpustats(ctx_switches=33176240, interrupts=37130556, soft_interrupts=12687623, syscalls=0), CPU Frequencyscpufreq(current=3791.995, min=0.0, max=0.0)
static analysis - Execution Time: 2234.84450006485, CPU utilization as a % 29.3, CPU Statsscpustats(ctx_switches=64150265, interrupts=70515729, soft_interrupts=26053052, syscalls=0), CPU Frequencyscpufreq(current=3791.995, min=0.0, max=0.0)
static analysis - Execution Time: 1841.6013214588165, CPU utilization as a % 29.1, CPU Statsscpustats(ctx_switches=165419182, interrupts=267054477, soft_interrupts=63019861, syscalls=0), CPU Frequencyscpufreq(current=3791.995, min=0.0, max=0.0)
static analysis - Execution Time: 2492.164251804352, CPU utilization as a % 30.7, CPU Statsscpustats(ctx_switches=204286331, interrupts=310603943, soft_interrupts=79408099, syscalls=0), CPU Frequencyscpufreq(current=3791.995, min=0.0, max=0.0)
static analysis - Execution Time: 2505.1263082027435, CPU utilization as a % 30.9, CPU Statsscpustats(ctx_switches=241933833, interrupts=348338914, soft_interrupts=95342182, syscalls=0), CPU Frequencyscpufreq(current=3791.995, min=0.0, max=0.0)
static analysis - Execution Time: 206.12172198295593, CPU utilization as a % 29.1, CPU Statsscpustats(ctx_switches=33176240, interrupts=37130556, soft_interrupts=12687623, syscalls=0), CPU Frequencyscpufreq(current=3791.995, min=0.0, max=0.0)
static analysis - Execution Time: 2234.84450006485, CPU utilization as a % 29.3, CPU Statsscpustats(ctx_switches=64150265, interrupts=70515729, soft_interrupts=26053052, syscalls=0), CPU Frequencyscpufreq(current=3791.995, min=0.0, max=0.0)
static analysis - Execution Time: 1841.6013214588165, CPU utilization as a % 29.1, CPU Statsscpustats(ctx_switches=165419182, interrupts=267054477, soft_interrupts=63019861, syscalls=0), CPU Frequencyscpufreq(current=3791.995, min=0.0, max=0.0)
static analysis - Execution Time: 2492.164251804352, CPU utilization as a % 30.7, CPU Statsscpustats(ctx_switches=204286331, interrupts=310603943, soft_interrupts=79408099, syscalls=0), CPU Frequencyscpufreq(current=3791.995, min=0.0, max=0.0)
static analysis - Execution Time: 2505.1263082027435, CPU utilization as a % 30.9, CPU Statsscpustats(ctx_switches=241933833, interrupts=348338914, soft_interrupts=95342182, syscalls=0), CPU Frequencyscpufreq(current=3791.995, min=0.0, max=0.0)
static analysis - Execution Time: 2234.84450006485, CPU utilization as a % 29.3, CPU Statsscpustats(ctx_switches=64150265, interrupts=70515729, soft_interrupts=26053052, syscalls=0), CPU Frequencyscpufreq(current=3791.995, min=0.0, max=0.0)
static analysis - Execution Time: 1841.6013214588165, CPU utilization as a % 29.1, CPU Statsscpustats(ctx_switches=165419182, interrupts=267054477, soft_interrupts=63019861, syscalls=0), CPU Frequencyscpufreq(current=3791.995, min=0.0, max=0.0)
static analysis - Execution Time: 2492.164251804352, CPU utilization as a % 30.7, CPU Statsscpustats(ctx_switches=204286331, interrupts=310603943, soft_interrupts=79408099, syscalls=0), CPU Frequencyscpufreq(current=3791.995, min=0.0, max=0.0)
